@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
67,3,4,9,0,1,?
82,4,6,16,0,2,?
74,4,3,15,0,0,?
64,5,2,9,0,0,?
81,8,3,15,0,0,?
77,4,2,11,0,0,?
42,1,1,0,0,0,?
140,6,10,5,0,3,?
35,0,4,0,0,0,?
105,2,5,21,0,4,?
33,1,1,1,0,0,?
72,4,1,18,0,0,?
56,3,1,3,0,0,?
84,8,2,20,0,0,?
60,3,4,0,0,0,?
63,2,4,4,0,0,?
82,11,3,30,0,0,?
65,3,1,11,0,0,?
56,2,4,5,0,0,?
51,1,3,3,0,0,?
38,0,3,0,0,0,?
39,1,1,1,0,0,?
56,2,1,15,0,0,?
91,3,7,19,0,0,?
60,4,1,3,0,0,?
45,0,1,0,0,0,?
51,1,2,1,0,0,?
47,1,1,2,0,0,?
47,1,1,2,0,0,?
47,1,1,2,0,0,?
38,1,1,1,0,0,?
110,6,9,18,0,0,?
65,1,2,1,0,0,?
43,1,2,1,0,0,?
70,5,1,7,0,0,?
46,1,2,1,0,0,?
31,0,0,0,0,0,?
31,0,0,0,0,0,?
31,0,0,0,0,0,?
38,1,1,1,0,0,?
41,1,1,6,0,0,?
38,0,1,2,0,0,?
34,0,1,0,0,0,?
77,3,3,9,0,0,?
77,3,3,8,0,0,?
39,1,1,1,0,0,?
110,6,5,18,0,0,?
63,2,3,6,0,0,?
58,1,4,8,0,0,?
82,4,3,6,0,0,?
81,7,3,10,0,2,?
58,3,2,2,0,0,?
40,1,1,1,0,0,?
55,4,2,7,0,0,?
69,4,1,7,1,0,?
84,4,3,10,0,2,?
31,0,0,0,0,0,?
39,1,1,1,0,0,?
131,9,6,24,2,0,?
81,6,1,22,0,1,?
41,0,2,2,0,0,?
70,2,11,5,0,0,?
65,1,6,22,0,0,?
72,4,7,13,0,0,?
40,0,2,1,0,0,?
74,1,6,37,0,0,?
39,1,1,1,0,0,?
111,7,4,21,0,0,?
110,1,6,18,0,0,?
109,1,6,18,0,0,?
69,2,3,18,0,0,?
109,1,6,18,0,0,?
109,1,6,18,0,0,?
73,3,2,8,0,0,?
60,1,1,6,0,0,?
49,2,1,6,0,1,?
37,1,1,1,0,0,?
84,4,1,19,0,0,?
64,9,2,15,0,0,?
76,3,2,12,0,0,?
39,1,1,1,0,0,?
72,4,2,13,0,0,?
39,1,1,1,0,0,?
75,3,2,8,0,0,?
51,0,1,4,0,0,?
37,1,1,1,0,0,?
72,2,1,3,0,0,?
73,2,2,10,0,0,?
54,0,1,6,0,0,?
37,1,1,1,0,0,?
84,5,1,15,0,0,?
66,3,1,6,0,0,?
44,1,2,0,0,0,?
57,1,5,3,0,0,?
34,0,1,0,0,0,?
41,1,1,3,0,0,?
48,0,4,1,0,0,?
45,0,3,2,0,1,?
45,0,3,2,0,1,?
45,0,3,2,0,1,?
44,1,2,0,0,0,?
39,1,1,1,0,0,?
156,11,5,25,0,1,?
49,1,1,6,0,0,?
98,6,7,19,1,0,?
70,2,2,9,0,0,?
39,0,1,0,0,0,?
39,0,1,0,0,0,?
39,0,1,0,0,0,?
46,1,1,6,0,0,?
211,20,5,68,0,11,?
106,9,9,10,0,3,?
29,1,1,0,0,0,?
218,15,13,36,0,8,?
31,0,3,0,0,0,?
30,1,1,0,0,0,?
29,1,1,0,0,0,?
29,1,1,0,0,0,?
24,0,1,0,0,0,?
32,1,1,1,0,0,?
136,19,5,68,0,0,?
64,2,1,4,0,0,?
49,0,1,1,0,0,?
43,1,2,0,0,0,?
43,1,2,0,0,0,?
37,0,1,0,0,0,?
64,2,3,4,0,1,?
39,0,1,0,0,0,?
42,1,1,4,0,0,?
41,1,1,4,0,0,?
43,1,2,0,0,0,?
38,1,1,1,0,0,?
45,2,1,2,0,0,?
69,6,1,15,0,0,?
61,2,1,8,0,0,?
177,10,10,30,1,5,?
59,2,5,2,0,0,?
90,1,3,22,0,0,?
115,4,1,33,0,0,?
186,5,15,23,0,4,?
82,3,4,2,0,1,?
101,4,7,0,0,0,?
82,3,4,2,0,1,?
101,5,5,4,0,2,?
69,2,3,5,0,1,?
144,15,4,23,0,8,?
71,2,4,4,0,1,?
99,5,2,23,0,0,?
51,2,1,3,0,0,?
38,0,1,0,0,0,?
44,1,1,1,0,0,?
51,2,2,2,0,0,?
87,9,4,20,0,0,?
31,0,1,0,0,0,?
31,0,1,0,0,0,?
30,0,1,0,0,0,?
29,0,0,0,0,0,?
84,7,2,16,0,3,?
47,2,2,3,0,0,?
47,2,2,3,0,0,?
46,2,2,3,0,0,?
49,0,2,1,0,2,?
49,0,2,1,0,2,?
49,0,2,1,0,2,?
50,2,4,0,0,0,?
37,1,1,1,0,0,?
39,1,1,1,0,0,?
39,1,1,1,0,0,?
39,1,1,1,0,0,?
45,1,1,6,0,0,?
45,1,1,6,0,0,?
47,1,1,6,0,0,?
52,3,1,13,0,0,?
51,1,1,3,0,0,?
46,1,2,3,0,0,?
46,1,2,3,0,0,?
69,1,5,7,0,0,?
92,1,8,16,0,0,?
46,1,2,3,0,0,?
39,1,1,1,0,0,?
135,4,7,49,0,0,?
60,4,1,9,0,0,?
33,0,1,0,0,0,?
33,0,1,0,0,0,?
32,0,1,0,0,0,?
32,0,1,0,0,0,?
32,0,1,0,0,0,?
29,0,0,0,0,0,?
