@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
45,2,2,4,0,0,?
58,1,3,5,0,1,?
57,1,3,5,0,1,?
114,9,8,27,0,1,?
428,22,40,48,0,2,?
41,1,1,1,0,0,?
40,1,1,1,0,0,?
20,0,0,0,0,0,?
85,3,5,8,0,0,?
41,1,1,1,0,0,?
40,1,1,1,0,0,?
20,0,0,0,0,0,?
157,4,14,20,0,2,?
177,4,17,22,0,2,?
20,0,0,0,0,0,?
62,2,2,6,0,1,?
22,0,0,0,0,0,?
100,7,5,14,0,3,?
225,10,21,31,1,7,?
269,5,30,39,0,2,?
175,10,13,50,0,5,?
20,0,0,0,0,0,?
85,12,4,22,0,2,?
140,11,5,30,0,5,?
70,1,3,7,0,1,?
288,17,28,85,0,10,?
20,0,0,0,0,0,?
75,1,3,3,0,1,?
63,0,3,5,0,1,?
79,5,2,18,0,1,?
167,16,8,49,0,3,?
39,0,1,0,0,0,?
115,4,10,21,0,5,?
332,25,26,115,0,13,?
20,0,0,0,0,0,?
52,2,2,4,0,0,?
118,8,7,24,1,5,?
85,10,4,16,0,4,?
37,0,1,0,0,0,?
124,7,7,17,0,4,?
112,7,7,8,0,3,?
53,1,2,8,0,2,?
48,1,2,0,0,0,?
204,9,14,24,0,2,?
141,13,6,19,0,3,?
28,0,0,0,0,0,?
22,0,0,0,0,0,?
120,5,10,22,0,4,?
56,1,1,3,0,3,?
60,0,2,1,0,1,?
35,0,1,0,0,0,?
127,2,13,12,0,3,?
21,0,0,0,0,0,?
82,3,5,4,0,0,?
65,2,5,6,0,2,?
156,10,12,11,0,6,?
245,14,12,19,0,6,?
20,0,0,0,0,0,?
43,1,1,5,0,0,?
57,2,3,3,0,0,?
110,2,9,21,1,3,?
20,0,0,0,0,0,?
22,0,0,0,0,0,?
145,14,11,41,0,1,?
20,0,0,0,0,0,?
100,5,6,9,0,3,?
20,0,0,0,0,0,?
98,5,6,9,0,3,?
20,0,0,0,0,0,?
1327,74,80,237,0,51,?
172,20,12,27,0,6,?
91,0,7,0,0,0,?
108,3,9,13,0,2,?
64,5,1,10,0,0,?
46,0,0,0,0,0,?
133,8,9,21,0,7,?
44,0,1,0,0,0,?
47,1,2,2,0,0,?
151,10,13,62,0,7,?
175,17,13,42,1,6,?
131,6,10,19,0,6,?
141,12,10,40,1,3,?
91,3,5,8,0,1,?
20,0,0,0,0,0,?
47,1,2,3,0,1,?
20,0,0,0,0,0,?
291,11,17,37,0,1,?
37,0,1,0,0,0,?
174,6,11,23,0,1,?
36,0,1,0,0,0,?
98,2,6,4,0,1,?
20,0,0,0,0,0,?
443,28,28,64,0,9,?
20,0,0,0,0,0,?
83,5,3,9,0,1,?
20,0,0,0,0,0,?
65,4,1,11,0,1,?
20,0,0,0,0,0,?
695,21,42,87,0,14,?
37,0,1,0,0,0,?
102,3,8,12,0,1,?
37,0,1,0,0,0,?
20,0,0,0,0,0,?
39,0,1,0,0,0,?
21,0,0,0,0,0,?
96,4,5,19,0,3,?
47,0,2,0,0,0,?
62,0,4,1,0,0,?
151,12,8,35,1,7,?
58,0,4,0,0,0,?
46,1,1,4,0,1,?
179,8,10,34,0,5,?
80,3,5,6,0,1,?
51,0,4,2,0,0,?
83,3,5,14,0,2,?
240,16,18,52,0,6,?
37,0,1,0,0,0,?
618,37,55,184,0,16,?
254,10,14,56,0,7,?
23,0,0,0,0,0,?
103,3,6,16,0,0,?
227,15,13,83,0,14,?
99,15,4,25,0,4,?
178,12,13,41,0,6,?
33,0,0,0,0,0,?
136,8,8,24,0,7,?
22,0,0,0,0,0,?
155,13,8,52,0,9,?
62,3,3,14,0,3,?
78,0,6,0,0,0,?
49,1,2,0,0,0,?
36,0,1,1,0,0,?
23,0,0,0,0,0,?
167,5,7,68,0,12,?
113,8,6,10,0,3,?
139,6,1,86,0,0,?
37,0,1,0,0,0,?
37,0,1,0,0,0,?
126,6,8,25,0,4,?
141,5,12,24,0,6,?
92,7,4,21,0,2,?
